file_name,molecules,props,norm_props
1.txt,Furfuryl alcohol,0.18329893193691352,0.31320533368145087
1.txt,5-Methylfurfural,0.15472684645258417,0.2643838295213814
1.txt,2-Methylbutyric acid,0.24720988724364196,0.4224108367971677
2.txt,Geraniol,0.2908722674485101,0.2935280662903492
2.txt,Sorbitol,0.32551653131893327,0.32848864837381664
2.txt,Eugenol,0.2205024936802762,0.22251578381781872
2.txt,2-Methylbutyric acid,0.1540608543932844,0.1554675015180154
3.txt,"1,8-Cineole",0.1544256473747862,0.08638741220808066
3.txt,Citral,0.3637102142301899,0.20346350968979537
3.txt,Geraniol,0.2812691941032077,0.1573450927711359
3.txt,2-Heptanone,0.205099264170973,0.1147347929486794
3.txt,Benzyl acetate,0.25480372646129434,0.14254001795792917
3.txt,Lactic acid,0.31952719283693554,0.1787470396824907
3.txt,Ascorbic acid,0.2087590807314261,0.11678213474188884
4.txt,2-Methylbutyric acid,0.2039357979071077,0.13877053471517972
4.txt,beta-Ionone,0.21523079864747274,0.146456352057865
4.txt,Nerolidol,0.27629736132779525,0.18800981958702528
4.txt,Salicylic acid,0.23550290971081342,0.16025075069182476
4.txt,5-Methylfurfural,0.19780403208308037,0.13459810186679808
4.txt,Furfuryl alcohol,0.34081915649578987,0.2319144410813071
5.txt,Ribitol,0.2283820652443271,0.32954292444584854
5.txt,Caffeine,0.27366156901882976,0.39487879079482435
5.txt,cis-Jasmone,0.1909831258421281,0.2755782847593271
6.txt,"1,2-Propanediol",0.3192726201732464,0.2357027004328681
6.txt,2-Methylbutyric acid,0.20989867545523708,0.15495749242523746
6.txt,"1,8-Cineole",0.2802640116451497,0.20690463323496103
6.txt,beta-Ionone,0.29961525685728135,0.2211906711381268
6.txt,Salicylic acid,0.24550591565019178,0.18124450276880671
7.txt,5-Methylfurfural,0.15607351553243753,0.12432336781024765
7.txt,Lactic acid,0.31909651726404237,0.2541824828347736
7.txt,2-Methylbutyric acid,0.38723308685776425,0.30845798098082683
7.txt,Caffeine,0.3929804681733437,0.3130361683741519
8.txt,Ribitol,0.3381567584493871,0.2185677997189222
8.txt,"1,2-Propanediol",0.20232272319272945,0.13077139917046535
8.txt,Benzyl acetate,0.38683117959709984,0.25002853757798843
8.txt,beta-Ionone,0.30697232638248545,0.19841172555497186
8.txt,Geraniol,0.31286512332719396,0.20222053797765213
9.txt,"1,2-Propanediol",0.1562870118990591,0.08981793855111114
9.txt,Geraniol,0.36732129217561077,0.21109905966115902
9.txt,Leaf alcohol,0.32868148262460284,0.18889281233639357
9.txt,beta-Ionone,0.22027785749849377,0.12659339268543043
9.txt,cis-Jasmone,0.3100532280774798,0.17818717914335133
9.txt,Ribitol,0.35742142239536173,0.20540961762255439
10.txt,"1,2-Propanediol",0.39662889572116533,0.3969449182603625
10.txt,Citral,0.309987533748196,0.3102345229327748
10.txt,Sorbitol,0.2925874335235643,0.29282055880686264
11.txt,"1,8-Cineole",0.383795327467115,0.2602405872032627
11.txt,Furfuryl alcohol,0.27791474690668516,0.18844600689840063
11.txt,Eugenol,0.3056470480363333,0.20725048369624735
11.txt,Ribitol,0.18098136310857157,0.12271826371376855
11.txt,Ascorbic acid,0.3264327313451312,0.22134465848832086
12.txt,Salicylic acid,0.3427959055346912,0.18790565345022522
12.txt,Citral,0.22246471757902825,0.12194538339395854
12.txt,Caffeine,0.3482907356849473,0.19091767790358435
12.txt,Furfuryl alcohol,0.3235686593409433,0.1773661219046277
12.txt,Nerolidol,0.39970893403919183,0.21910287499897335
12.txt,Benzyl acetate,0.18746903588303768,0.10276228834863073
13.txt,Leaf alcohol,0.2655662113087425,0.31877182516259545
13.txt,Citral,0.3379864016022412,0.40570124334690755
13.txt,"1,8-Cineole",0.22953924259815847,0.27552693149049706
14.txt,Benzyl acetate,0.2679532535740501,0.30432127668026615
14.txt,Ascorbic acid,0.22540825221798286,0.2560018442555952
14.txt,Sorbitol,0.38713313624239176,0.4396768790641386
15.txt,Benzyl acetate,0.24784092721872134,0.13134207805038872
15.txt,Ascorbic acid,0.3455637043527864,0.18312978222693113
15.txt,Ribitol,0.38926055370933565,0.2062867122108117
15.txt,Leaf alcohol,0.23195897615293035,0.12292551634734647
15.txt,Nerolidol,0.3219031598830123,0.170590993281386
15.txt,Lactic acid,0.3504606942347753,0.18572491788313591
16.txt,Nerolidol,0.29115627731881666,0.22991377682025482
16.txt,Sorbitol,0.3525011543537374,0.27835522722466705
16.txt,Citral,0.2593866759855189,0.20482666862572976
16.txt,2-Heptanone,0.3633274919283269,0.2869043273293483
17.txt,5-Methylfurfural,0.2729886321337781,0.3687089268980323
17.txt,Sorbitol,0.27325968598783956,0.3690750226393876
17.txt,cis-Jasmone,0.19414230499251708,0.2622160504625801
18.txt,Ribitol,0.2945320351273152,0.2884651721973453
18.txt,"1,8-Cineole",0.33020520392096064,0.3234035339087826
18.txt,Furfuryl alcohol,0.3962942875091811,0.388131293893872
19.txt,2-Heptanone,0.31730127309071443,0.18268014533985355
19.txt,2-Methylbutyric acid,0.1520327144449391,0.08752993046855409
19.txt,Benzyl acetate,0.268608918128443,0.15464645233004196
19.txt,Caffeine,0.25323567770057775,0.14579560288859
19.txt,beta-Ionone,0.164401080511275,0.09465078091017456
19.txt,Geraniol,0.3058802543906083,0.17610471204347314
19.txt,cis-Jasmone,0.27546268216391145,0.15859237601931275
20.txt,Ribitol,0.3271219366439866,0.19626520976224207
20.txt,5-Methylfurfural,0.2776160753786937,0.1665628964738869
20.txt,cis-Jasmone,0.308120685085011,0.1848649207408851
